classifying bobcat jpgs...
squirrel (score = 0.66071) | filename: Cam4_EK001543.JPG
squirrel (score = 0.80850) | filename: Cam3_EK000076.JPG
squirrel (score = 0.99677) | filename: Cam4_EK001662.JPG
squirrel (score = 0.60355) | filename: Cam4_EK001377.JPG
squirrel (score = 0.74658) | filename: Cam4_EK001235.JPG
squirrel (score = 0.96051) | filename: Cam3_EK000900.JPG
squirrel (score = 0.77144) | filename: Cam3_EK001390.JPG
nothing (score = 0.51998) | filename: Cam3_EK000007.JPG
nothing (score = 0.48013) | filename: Cam4_EK001622.JPG
classifying turkey jpgs...
turkey (score = 0.99844) | filename: Cam3_EK000032.JPG
turkey (score = 0.99827) | filename: Cam3_EK000029.JPG
turkey (score = 0.99634) | filename: Cam3_EK001497.JPG
turkey (score = 0.94101) | filename: Cam3_EK001499.JPG
turkey (score = 0.98414) | filename: Cam3_EK001567.JPG
turkey (score = 0.97408) | filename: Cam3_EK001296.JPG
turkey (score = 0.95141) | filename: Cam3_EK001538.JPG
turkey (score = 0.97966) | filename: Cam3_EK001303.JPG
turkey (score = 0.99179) | filename: Cam3_EK001568.JPG
turkey (score = 0.98735) | filename: Cam3_EK000026.JPG
turkey (score = 0.99508) | filename: Cam3_EK001575.JPG
turkey (score = 0.79964) | filename: Cam3_EK001572.JPG
turkey (score = 0.95039) | filename: Cam3_EK001537.JPG
turkey (score = 0.92248) | filename: Cam3_EK001573.JPG
turkey (score = 0.99855) | filename: Cam3_EK001496.JPG
turkey (score = 0.95356) | filename: Cam3_EK001539.JPG
turkey (score = 0.99753) | filename: Cam3_EK000031.JPG
turkey (score = 0.99004) | filename: Cam3_EK001266.JPG
turkey (score = 0.99669) | filename: Cam3_EK001495.JPG
turkey (score = 0.96232) | filename: Cam3_EK001265.JPG
turkey (score = 0.98959) | filename: Cam3_EK000025.JPG
turkey (score = 0.99380) | filename: Cam3_EK000035.JPG
turkey (score = 0.99688) | filename: Cam3_EK001455.JPG
turkey (score = 0.97821) | filename: Cam3_EK001295.JPG
turkey (score = 0.92837) | filename: Cam3_EK001500.JPG
turkey (score = 0.99514) | filename: Cam3_EK000034.JPG
turkey (score = 0.99780) | filename: Cam3_EK001453.JPG
turkey (score = 0.99412) | filename: Cam3_EK001569.JPG
turkey (score = 0.99580) | filename: Cam3_EK000028.JPG
turkey (score = 0.91231) | filename: Cam3_EK001498.JPG
turkey (score = 0.98327) | filename: Cam3_EK000027.JPG
turkey (score = 0.98898) | filename: Cam3_EK001305.JPG
turkey (score = 0.99572) | filename: Cam3_EK000036.JPG
turkey (score = 0.99855) | filename: Cam3_EK000030.JPG
turkey (score = 0.99666) | filename: Cam3_EK001454.JPG
turkey (score = 0.95958) | filename: Cam3_EK001294.JPG
turkey (score = 0.96418) | filename: Cam3_EK001304.JPG
turkey (score = 0.99502) | filename: Cam3_EK000033.JPG
turkey (score = 0.98406) | filename: Cam3_EK001574.JPG
turkey (score = 0.99321) | filename: Cam3_EK001264.JPG
Accuracy: 0.940959409594096
